family,family_size,action,old_finish,old_handle,new_finish,new_handle
TPK_T:edwardian bath 24'' single towel bar - beaded backplate,5,kept,Oil Rubbed Bronze,edwardian-bath-24-single-towel-bar-beaded-backplate-ed8orba-oil-rubbed-bronze,Oil Rubbed Bronze,edwardian-bath-24-single-towel-bar-beaded-backplate-ed8orba-oil-rubbed-bronze
TPK_T:edwardian bath 24'' single towel bar - hex backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-single-towel-bar-hex-backplate-ed8bsnb-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-single-towel-bar-hex-backplate-ed8orbb-oil-rubbed-bronze
TPK_T:edwardian bath 24'' single towel bar - oval backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-single-towel-bar-oval-backplate-ed8bsnc-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-single-towel-bar-oval-backplate-ed8orbc-oil-rubbed-bronze
TPK_T:edwardian bath 24'' single towel bar - plain backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-single-towel-bar-plain-backplate-ed8bsnd-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-single-towel-bar-plain-backplate-ed8orbd-oil-rubbed-bronze
TPK_T:edwardian bath 24'' single towel bar - ribbon backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-single-towel-bar-ribbon-backplate-ed8bsne-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-single-towel-bar-ribbon-backplate-ed8orbe-oil-rubbed-bronze
TPK_T:edwardian bath 24'' single towel bar - rope backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-24-single-towel-bar-rope-backplate-ed8bsnf-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-24-single-towel-bar-rope-backplate-ed8orbf-oil-rubbed-bronze
TPK_T:edwardian bath 30'' double towel bar - beaded backplate,5,RETAG,Polished Chrome,edwardian-bath-30-double-towel-bar-beaded-backplate-ed11pca-polished-chrome,Oil Rubbed Bronze,edwardian-bath-30-double-towel-bar-beaded-backplate-ed11orba-oil-rubbed-bronze
TPK_T:edwardian bath 30'' double towel bar - hex backplate,5,kept,Oil Rubbed Bronze,edwardian-bath-30-double-towel-bar-hex-backplate-ed11orbb-oil-rubbed-bronze,Oil Rubbed Bronze,edwardian-bath-30-double-towel-bar-hex-backplate-ed11orbb-oil-rubbed-bronze
TPK_T:edwardian bath 30'' double towel bar - oval backplate,5,kept,Oil Rubbed Bronze,edwardian-bath-30-double-towel-bar-oval-backplate-ed11orbc-oil-rubbed-bronze,Oil Rubbed Bronze,edwardian-bath-30-double-towel-bar-oval-backplate-ed11orbc-oil-rubbed-bronze
TPK_T:edwardian bath 30'' double towel bar - plain backplate,5,RETAG,Brushed Satin Nickel,edwardian-bath-30-double-towel-bar-plain-backplate-ed11bsnd-brushed-satin-nickel,Oil Rubbed Bronze,edwardian-bath-30-double-towel-bar-plain-backplate-ed11orbd-oil-rubbed-bronze
